Author,Comment,CaseFolding,tokenized_comment,Remove_TandaBaca,Remove_SpasiTab,Normalisasi,Remove_StopWords_Final,Stemming,Cleaned_Text,Sentiment
@OppoA3x-e8j3r,Seru bgt crita hampir sama kyak mmpi ku tapi GK sbanyak it,seru bgt crita hampir sama kyak mmpi ku tapi gk sbanyak it,"['seru', 'bgt', 'crita', 'hampir', 'sama', 'kyak', 'mmpi', 'ku', 'tapi', 'gk', 'sbanyak', 'it']","['seru', 'bgt', 'crita', 'hampir', 'sama', 'kyak', 'mmpi', 'ku', 'tapi', 'gk', 'sbanyak', 'it']","['seru', 'bgt', 'crita', 'hampir', 'sama', 'kyak', 'mmpi', 'ku', 'tapi', 'gk', 'sbanyak', 'it']","['seru', 'banget', 'cerita', 'hampir', 'sama', 'seperti', 'mimpi', 'ku', 'tapi', 'tidak', 'sbanyak']","['seru', 'banget', 'cerita', 'mimpi', 'sbanyak']","['seru', 'banget', 'cerita', 'mimpi', 'sbanyak']",seru banget cerita mimpi sbanyak,Netral
@nrwinda.s,Aku nonton sambil nyuci ka nadd😂,aku nonton sambil nyuci ka nadd,"['aku', 'nonton', 'sambil', 'nyuci', 'ka', 'nadd']","['aku', 'nonton', 'sambil', 'nyuci', 'ka', 'nadd']","['aku', 'nonton', 'sambil', 'nyuci', 'ka', 'nadd']","['aku', 'nonton', 'sambil', 'nyuci', 'kakak', 'nadd']","['nonton', 'nyuci', 'nadd']","['nonton', 'nyuci', 'nadd']",nonton nyuci nadd,Netral
@yoeoel6098,"Penasaran wajah anak kembarnya , lumayan yaa mbak kalo pangerannya ganteng anaknya juga ganteng 😅",penasaran wajah anak kembarnya  lumayan yaa mbak kalo pangerannya ganteng anaknya juga ganteng ,"['penasaran', 'wajah', 'anak', 'kembarnya', 'lumayan', 'yaa', 'mbak', 'kalo', 'pangerannya', 'ganteng', 'anaknya', 'juga', 'ganteng']","['penasaran', 'wajah', 'anak', 'kembarnya', 'lumayan', 'yaa', 'mbak', 'kalo', 'pangerannya', 'ganteng', 'anaknya', 'juga', 'ganteng']","['penasaran', 'wajah', 'anak', 'kembarnya', 'lumayan', 'yaa', 'mbak', 'kalo', 'pangerannya', 'ganteng', 'anaknya', 'juga', 'ganteng']","['penasaran', 'wajah', 'anak', 'kembarnya', 'lumayan', 'mbak', 'kalo', 'pangerannya', 'ganteng', 'anaknya', 'juga', 'ganteng']","['penasaran', 'wajah', 'anak', 'kembarnya', 'lumayan', 'mbak', 'kalo', 'pangerannya', 'ganteng', 'anaknya', 'ganteng']","['penasaran', 'wajah', 'anak', 'kembar', 'lumayan', 'mbak', 'kalo', 'pangeran', 'ganteng', 'anak', 'ganteng']",penasaran wajah anak kembar lumayan mbak kalo pangeran ganteng anak ganteng,Netral
@mariadowenginang3732,"Sumpah pass aku dengar di tiktok, pikiranku kemana mana cok, kek gak abis pikir, ada sedih, marah, dan kecewa. Gini ya guys, emang kasihan juga pangerannya, tadi lebih kasihan suami di nyata, aku juga kecewa karena tiara gak bisa setia😕😞😞",sumpah pass aku dengar di tiktok pikiranku kemana mana cok kek gak abis pikir ada sedih marah dan kecewa gini ya guys emang kasihan juga pangerannya tadi lebih kasihan suami di nyata aku juga kecewa karena tiara gak bisa setia,"['sumpah', 'pass', 'aku', 'dengar', 'di', 'tiktok', 'pikiranku', 'kemana', 'mana', 'cok', 'kek', 'gak', 'abis', 'pikir', 'ada', 'sedih', 'marah', 'dan', 'kecewa', 'gini', 'ya', 'guys', 'emang', 'kasihan', 'juga', 'pangerannya', 'tadi', 'lebih', 'kasihan', 'suami', 'di', 'nyata', 'aku', 'juga', 'kecewa', 'karena', 'tiara', 'gak', 'bisa', 'setia']","['sumpah', 'pass', 'aku', 'dengar', 'di', 'tiktok', 'pikiranku', 'kemana', 'mana', 'cok', 'kek', 'gak', 'abis', 'pikir', 'ada', 'sedih', 'marah', 'dan', 'kecewa', 'gini', 'ya', 'guys', 'emang', 'kasihan', 'juga', 'pangerannya', 'tadi', 'lebih', 'kasihan', 'suami', 'di', 'nyata', 'aku', 'juga', 'kecewa', 'karena', 'tiara', 'gak', 'bisa', 'setia']","['sumpah', 'pass', 'aku', 'dengar', 'di', 'tiktok', 'pikiranku', 'kemana', 'mana', 'cok', 'kek', 'gak', 'abis', 'pikir', 'ada', 'sedih', 'marah', 'dan', 'kecewa', 'gini', 'ya', 'guys', 'emang', 'kasihan', 'juga', 'pangerannya', 'tadi', 'lebih', 'kasihan', 'suami', 'di', 'nyata', 'aku', 'juga', 'kecewa', 'karena', 'tiara', 'gak', 'bisa', 'setia']","['sumpah', 'pas', 'aku', 'dengar', 'di', 'tiktok', 'pikiranku', 'kemana', 'mana', 'cok', 'tidak', 'habis', 'pikir', 'ada', 'sedih', 'marah', 'dan', 'kecewa', 'gini', 'teman-teman', 'emang', 'kasihan', 'juga', 'pangerannya', 'tadi', 'lebih', 'kasihan', 'suami', 'di', 'nyata', 'aku', 'juga', 'kecewa', 'karena', 'tiara', 'tidak', 'bisa', 'setia']","['sumpah', 'pas', 'dengar', 'pikiranku', 'kemana', 'cok', 'habis', 'pikir', 'sedih', 'marah', 'kecewa', 'gini', 'teman-teman', 'emang', 'kasihan', 'pangerannya', 'kasihan', 'suami', 'nyata', 'kecewa', 'setia']","['sumpah', 'pas', 'dengar', 'pikir', 'mana', 'cok', 'habis', 'pikir', 'sedih', 'marah', 'kecewa', 'gin', 'teman', 'emang', 'kasihan', 'pangeran', 'kasihan', 'suami', 'nyata', 'kecewa', 'setia']",sumpah pas dengar pikir mana cok habis pikir sedih marah kecewa gin teman emang kasihan pangeran kasihan suami nyata kecewa setia,Netral
@novimuly,"Kayanya tiara dibutakan deh, rukiah gih tiara. Itu nggk bener kayanya",kayanya tiara dibutakan deh rukiah gih tiara itu nggk bener kayanya,"['kayanya', 'tiara', 'dibutakan', 'deh', 'rukiah', 'gih', 'tiara', 'itu', 'nggk', 'bener', 'kayanya']","['kayanya', 'tiara', 'dibutakan', 'deh', 'rukiah', 'gih', 'tiara', 'itu', 'nggk', 'bener', 'kayanya']","['kayanya', 'tiara', 'dibutakan', 'deh', 'rukiah', 'gih', 'tiara', 'itu', 'nggk', 'bener', 'kayanya']","['kayanya', 'tiara', 'dibutakan', 'deh', 'tiara', 'itu', 'tidak', 'bener', 'kayanya']","['kayanya', 'dibutakan', 'bener', 'kayanya']","['kaya', 'buta', 'bener', 'kaya']",kaya buta bener kaya,Netral
@aleennamara,dasar,dasar,['dasar'],['dasar'],['dasar'],['dasar'],['dasar'],['dasar'],dasar,Netral
@AjenggCan-q4h,Mungkin banyak yang di ketahui dari nenek moyang sih cewek itu . Kisa legenda dari jaman dulu,mungkin banyak yang di ketahui dari nenek moyang sih cewek itu  kisa legenda dari jaman dulu,"['mungkin', 'banyak', 'yang', 'di', 'ketahui', 'dari', 'nenek', 'moyang', 'sih', 'cewek', 'itu', 'kisa', 'legenda', 'dari', 'jaman', 'dulu']","['mungkin', 'banyak', 'yang', 'di', 'ketahui', 'dari', 'nenek', 'moyang', 'sih', 'cewek', 'itu', 'kisa', 'legenda', 'dari', 'jaman', 'dulu']","['mungkin', 'banyak', 'yang', 'di', 'ketahui', 'dari', 'nenek', 'moyang', 'sih', 'cewek', 'itu', 'kisa', 'legenda', 'dari', 'jaman', 'dulu']","['mungkin', 'banyak', 'yang', 'di', 'ketahui', 'dari', 'nenek', 'moyang', 'cewek', 'itu', 'bisa', 'legenda', 'dari', 'jaman', 'dulu']","['ketahui', 'nenek', 'moyang', 'cewek', 'legenda', 'jaman']","['tahu', 'nenek', 'moyang', 'cewek', 'legenda', 'jaman']",tahu nenek moyang cewek legenda jaman,Netral
@putriaprilianivera1983,takut bgt ada anak yg butuh donor darah ternyata gasama sama ayahnya,takut bgt ada anak yg butuh donor darah ternyata gasama sama ayahnya,"['takut', 'bgt', 'ada', 'anak', 'yg', 'butuh', 'donor', 'darah', 'ternyata', 'gasama', 'sama', 'ayahnya']","['takut', 'bgt', 'ada', 'anak', 'yg', 'butuh', 'donor', 'darah', 'ternyata', 'gasama', 'sama', 'ayahnya']","['takut', 'bgt', 'ada', 'anak', 'yg', 'butuh', 'donor', 'darah', 'ternyata', 'gasama', 'sama', 'ayahnya']","['takut', 'banget', 'ada', 'anak', 'yang', 'butuh', 'donor', 'darah', 'ternyata', 'gasama', 'sama', 'ayahnya']","['takut', 'banget', 'anak', 'butuh', 'donor', 'darah', 'gasama', 'ayahnya']","['takut', 'banget', 'anak', 'butuh', 'donor', 'darah', 'gasama', 'ayah']",takut banget anak butuh donor darah gasama ayah,Netral
@fishanay,Pandai kali bercerita kk nya,pandai kali bercerita kk nya,"['pandai', 'kali', 'bercerita', 'kk', 'nya']","['pandai', 'kali', 'bercerita', 'kk', 'nya']","['pandai', 'kali', 'bercerita', 'kk', 'nya']","['pandai', 'kali', 'bercerita', 'kakak', 'nya']","['pandai', 'kali', 'bercerita']","['pandai', 'kali', 'cerita']",pandai kali cerita,Netral
@suminipatimuan5680,"aku kek djvu crita kek gini yaa mimpi yg terasa nyata,",aku kek djvu crita kek gini yaa mimpi yg terasa nyata,"['aku', 'kek', 'djvu', 'crita', 'kek', 'gini', 'yaa', 'mimpi', 'yg', 'terasa', 'nyata']","['aku', 'kek', 'djvu', 'crita', 'kek', 'gini', 'yaa', 'mimpi', 'yg', 'terasa', 'nyata']","['aku', 'kek', 'djvu', 'crita', 'kek', 'gini', 'yaa', 'mimpi', 'yg', 'terasa', 'nyata']","['aku', 'cerita', 'gini', 'mimpi', 'yang', 'terasa', 'nyata']","['cerita', 'gini', 'mimpi', 'nyata']","['cerita', 'gin', 'mimpi', 'nyata']",cerita gin mimpi nyata,Netral
@MahdiyahZahra,aku mikirnya cowo ganteng itu anime🗿,aku mikirnya cowo ganteng itu anime,"['aku', 'mikirnya', 'cowo', 'ganteng', 'itu', 'anime']","['aku', 'mikirnya', 'cowo', 'ganteng', 'itu', 'anime']","['aku', 'mikirnya', 'cowo', 'ganteng', 'itu', 'anime']","['aku', 'mikirnya', 'cowo', 'ganteng', 'itu', 'anime']","['mikirnya', 'cowo', 'ganteng', 'anime']","['mikirnya', 'cowo', 'ganteng', 'anime']",mikirnya cowo ganteng anime,Netral
@Syaaa_Tisyaa,"Cerita satu ini paling menarik sih, kaya seru banget omaygattt lopee❤",cerita satu ini paling menarik sih kaya seru banget omaygattt lopee,"['cerita', 'satu', 'ini', 'paling', 'menarik', 'sih', 'kaya', 'seru', 'banget', 'omaygattt', 'lopee']","['cerita', 'satu', 'ini', 'paling', 'menarik', 'sih', 'kaya', 'seru', 'banget', 'omaygattt', 'lopee']","['cerita', 'satu', 'ini', 'paling', 'menarik', 'sih', 'kaya', 'seru', 'banget', 'omaygattt', 'lopee']","['cerita', 'satu', 'ini', 'paling', 'menarik', 'seperti', 'seru', 'banget', 'omaygattt', 'lopee']","['cerita', 'menarik', 'seru', 'banget']","['cerita', 'tarik', 'seru', 'banget']",cerita tarik seru banget,Netral
@rizqiAmaliya-q5p,sebagai pecinta fiksi aku suka banget khw yg skrg pliss jiwa menghalu ku meronta-ronta 😂😭,sebagai pecinta fiksi aku suka banget khw yg skrg pliss jiwa menghalu ku merontaronta ,"['sebagai', 'pecinta', 'fiksi', 'aku', 'suka', 'banget', 'khw', 'yg', 'skrg', 'pliss', 'jiwa', 'menghalu', 'ku', 'merontaronta']","['sebagai', 'pecinta', 'fiksi', 'aku', 'suka', 'banget', 'khw', 'yg', 'skrg', 'pliss', 'jiwa', 'menghalu', 'ku', 'merontaronta']","['sebagai', 'pecinta', 'fiksi', 'aku', 'suka', 'banget', 'khw', 'yg', 'skrg', 'pliss', 'jiwa', 'menghalu', 'ku', 'merontaronta']","['sebagai', 'pecinta', 'fiksi', 'aku', 'suka', 'banget', 'yang', 'sekarang', 'tolong', 'jiwa', 'menghalu', 'ku', 'merontaronta']","['pecinta', 'suka', 'banget', 'tolong', 'jiwa', 'menghalu', 'merontaronta']","['cinta', 'suka', 'banget', 'tolong', 'jiwa', 'menghalu', 'merontaronta']",cinta suka banget tolong jiwa menghalu merontaronta,Netral
@MazZzz-l4t,"Maman kembali
Saranku teh tiara dan suami juga anaknya mampirlah ke kediaman om. Hao
Begetu mba nad
😅😅😅😅😅😅😅😅","maman kembali
saranku teh tiara dan suami juga anaknya mampirlah ke kediaman om hao
begetu mba nad
","['maman', 'kembali', 'saranku', 'teh', 'tiara', 'dan', 'suami', 'juga', 'anaknya', 'mampirlah', 'ke', 'kediaman', 'om', 'hao', 'begetu', 'mba', 'nad']","['maman', 'kembali', 'saranku', 'teh', 'tiara', 'dan', 'suami', 'juga', 'anaknya', 'mampirlah', 'ke', 'kediaman', 'om', 'hao', 'begetu', 'mba', 'nad']","['maman', 'kembali', 'saranku', 'teh', 'tiara', 'dan', 'suami', 'juga', 'anaknya', 'mampirlah', 'ke', 'kediaman', 'om', 'hao', 'begetu', 'mba', 'nad']","['maman', 'kembali', 'saranku', 'teh', 'tiara', 'dan', 'suami', 'juga', 'anaknya', 'mampirlah', 'ke', 'kediaman', 'om', 'hao', 'begetu', 'mba', 'nad']","['maman', 'saranku', 'teh', 'suami', 'anaknya', 'mampirlah', 'kediaman', 'om', 'hao', 'begetu', 'mba']","['maman', 'saran', 'teh', 'suami', 'anak', 'mampir', 'diam', 'om', 'hao', 'begetu', 'mba']",maman saran teh suami anak mampir diam om hao begetu mba,Netral
@ItoKristoforus,Terpesona sama laki yang di mimpi berulang ulang kali,terpesona sama laki yang di mimpi berulang ulang kali,"['terpesona', 'sama', 'laki', 'yang', 'di', 'mimpi', 'berulang', 'ulang', 'kali']","['terpesona', 'sama', 'laki', 'yang', 'di', 'mimpi', 'berulang', 'ulang', 'kali']","['terpesona', 'sama', 'laki', 'yang', 'di', 'mimpi', 'berulang', 'ulang', 'kali']","['terpesona', 'sama', 'laki', 'yang', 'di', 'mimpi', 'berulang', 'ulang', 'kali']","['terpesona', 'laki', 'mimpi', 'berulang', 'ulang', 'kali']","['pesona', 'laki', 'mimpi', 'ulang', 'ulang', 'kali']",pesona laki mimpi ulang ulang kali,Netral
@deaPuspitasari-o6h,Merinding kalii wakk😭,merinding kalii wakk,"['merinding', 'kalii', 'wakk']","['merinding', 'kalii', 'wakk']","['merinding', 'kalii', 'wakk']","['merinding', 'wakk']",['merinding'],['merinding'],merinding,Netral
@casriati4005,"Seperti tetangga ku, kata orang orang sih tetangga ku punya istri di dunia lain, makannya mpe sekarang dia jd bujang lapuk",seperti tetangga ku kata orang orang sih tetangga ku punya istri di dunia lain makannya mpe sekarang dia jd bujang lapuk,"['seperti', 'tetangga', 'ku', 'kata', 'orang', 'orang', 'sih', 'tetangga', 'ku', 'punya', 'istri', 'di', 'dunia', 'lain', 'makannya', 'mpe', 'sekarang', 'dia', 'jd', 'bujang', 'lapuk']","['seperti', 'tetangga', 'ku', 'kata', 'orang', 'orang', 'sih', 'tetangga', 'ku', 'punya', 'istri', 'di', 'dunia', 'lain', 'makannya', 'mpe', 'sekarang', 'dia', 'jd', 'bujang', 'lapuk']","['seperti', 'tetangga', 'ku', 'kata', 'orang', 'orang', 'sih', 'tetangga', 'ku', 'punya', 'istri', 'di', 'dunia', 'lain', 'makannya', 'mpe', 'sekarang', 'dia', 'jd', 'bujang', 'lapuk']","['seperti', 'tetangga', 'ku', 'kata', 'orang', 'orang', 'tetangga', 'ku', 'punya', 'istri', 'di', 'dunia', 'lain', 'makannya', 'mpe', 'sekarang', 'dia', 'jadi', 'bujang', 'lapuk']","['tetangga', 'orang', 'orang', 'tetangga', 'istri', 'dunia', 'makannya', 'mpe', 'bujang', 'lapuk']","['tetangga', 'orang', 'orang', 'tetangga', 'istri', 'dunia', 'makan', 'mpe', 'bujang', 'lapuk']",tetangga orang orang tetangga istri dunia makan mpe bujang lapuk,Netral
