Cleaned_Text;Label
bilang romantis yaih gemes ken pngen ngalamin tiara wweeeeee rem tau coba nonton film pengantin setan sisi rem;positive
keren banget cerita wattpad;positive
moga cerita keren bged pingin tau kak tiara asli kak tiara sapa dongg;positive
gila tergilagila baget gue cerita luar ekspektasi dengar cerita suka film berkatakata;positive
seram siii seru;positive
sumpah baper smaa ngeri ngeri merinding bayang klw posisi tiara cinta pria tampan;positive
ketemu video nonton lagi masih suka;positive
wajib bikin film cerita ayo bantu up;positive
saking fantasi sperti filmsy mkir andai laki mimpi;positive
gila merinding banget cerita;positive
kisah seru;positive
senang denger cerita;positive
sumpah nonton cerita bener epik banget angkat film bgus deh kyknya bener bagus banget;positive
bnyak bnget plowt twist nya suka banget;positive
bener banget dunia mimpi emang seindah setenang;positive
nama anak ku kak tiara;neutral
lupa nonton;neutral
ketemu cowo gaib supirnya bawa uang asli penuh peti kaki nanjak dasar mobil wujud manusia syarat nikah layan indonesia raja disingaura melayu cina heran bicara tatap keluar mutiara mulut mutiara ngobati sakit apa langsung ku tolak mutiara pikir sulap wallahu alam;neutral
nonton;neutral
mikirnya cowo ganteng anime;neutral
kabar suami kak tiara gimana tau anak pangeran pliisss;neutral
lengkap kak endingnya anak kembar muka pria mimpi kak bgmana tanggap suami suami tau pria mimpi pria mimpi tiara;neutral
njir novel fantasi;neutral
tiara nenek deh mimpi kali nenek cegah tiara ajak pangeran mngkin kait nenek kali;neutral
untung horor;neutral
ingin lihat anakkknyaaa;neutral
patut tiara diruqyah dapat malaysia famous ceritacerita tambah kisah kisah orang bunian panggil malaysia jadi kisah orang bunian masuk mimpi wujud alam nyata orang sahaja nampak utama hijab buka perkara orang hilang bulan tahun jumpa potensi selamat dunia nyata sahaja;neutral
gimana kabar si cewenyaa kak sampe skrng mimpi cowo;neutral
cerita percaya cerita percaya kwh kodam cimiwiw;neutral
cerita dongeng dengar ustad manusia suka cinta jin jin segan cerai hubung manusia ngeri kali jin suka manusia;neutral
tiara suka jin;neutral
umur ny tiara umur ku;neutral
typo dikit ngaruh;neutral
ngumpul;neutral
tiara bujang;neutral
hai kak nadira alami tiara;neutral
cerita dunia beda saranjana daerah situ;neutral
genderowo;neutral
mimpi ulang awak derita cerita ku tidur mimpi sekolah marah bangun pergi sekolah marah guru ku mimpi ku;neutral
ingin mimpi gitutapi takut asli gendorowo;neutral
tiara hoki apes cinta pria dunia beda asa suami;neutral
mimpiin laki laki kalo mimpiin laki laki pas bangun tidur ny badan ku sakit minggu mimpiin laki laki laki ajak tobat nang tobat tau tipu daya emang beneran tobat btw anggap laki laki mimpi ku hibur muka ubah ubah;neutral
pa jin biar;neutral
lahir anak mimpi cowo ganteng banget liat sayang bawa bilang kasi sedih mimpi nolak suami anak;neutral
serba kasihan kasihan tiara pangeran cinta beda nasi kasi suami yaudah la emang bener suami tir;neutral
kak nonton kakk suka horor kakak malam jumaat;neutral
kandung normal cepat labhirnyatrus tanggap suami anak kembar laki dalamn mimpi suami bertemunlaki it dlam mimpi;neutral
kakak nadia ceritain publik rasa like suami nonton tengkar;neutral
kakak spupu;neutral
bahas kota gaib film sama bcl ari lasso band jebak sana rem banget nonton film asli ngeri nonton film fiktif belaka vs fiksi ilmiah;neutral
cinta milik;neutral
anak normal;neutral
kalo narasumber nama samarin nama narasumber palsu asli;neutral
apa mimpi gin rasa mimpi asli tempat rumah karna ku gubris ku dengar bicara ku acuh orang alhamdulillah;neutral
dengar nonton youtube kakak ara hamil g denger horor eh banget lihat lihat konten kakak hhhh kangen obat;neutral
cerita salah si istri susul si suami mimpi berkalikali mimpi cerita ruqyah suami pas tau istri mimpi si cwok mimpi nggk nyaranin ruqyah fix si istri doyan cwok mimpi nikmat pandang heran inti doyan ajak si cwok pulang eh air terjun bawa suasana si istri nggk lurus niat tubuh anak dunia mimpi nyata si istri doyan cwok mimpi ganteng biar lusuh kalo ganteng doyan nggk usaha ruqyah nikmat jadi kn;neutral
novel judul kinanti dunia;neutral
keinget gin ajak rumah ehh pas sadar tangan tarik kakek kakek ntah datang pas sadar posisi ujung jurang;neutral
cerita cerita hidup mimpi ku sampe umur anak;neutral
ngalamin versi anak;neutral
si tiara;neutral
berrti lagu tiara benernya;neutral
malam mimpi ingat klw ku mimpi pagi itu jarang curiga hidup alam;neutral
iya zaman rosulullah ketemu jin ganteng jelek gatau gimana hadap allah subhana hu wataala;neutral
salah jin nikah manusia;neutral
heyy ntah percaya malam tidur sampe jam malam nyoba rileks pikir biar cepet tidur dg bayangin elus dahi ku jari lentikeh tb video muncul fyp tiktok ku pas dengerin cerita ngalamin wkwk pas;neutral
brti tiara suami;neutral
orang bunian nama kalo sumatra barat kak;neutral
gua;neutral
cerita novel baca moga kak tiara sehat;neutral
air terjun;neutral
alami mimpi dunia nyata bau wangi;neutral
nonton sekian kali smua tonton;neutral
guys bilang cerita ngarang masuk akal lh salah soalny ak posisi cmn mimpi ny kuntilanak malam mimpi takut banget ceritain keluarga percaya nanya ustad pondok percaya;neutral
angkat tangan;neutral
cerita fantasi bagus cuman sayang karna tiara hubung pria muhrim bisa kandung anak orang moga tiara keluarga suami lindung marabahaya;neutral
kakkkk cerita cerita akua mw kngsi;neutral
bole kaa cerita kisah mw;neutral
nonton podcast denni sumargo kisaha persis gin;neutral
cerita cerita novel baca difizzo novel persis nama samar alur beda cerita kak nadia omara adegan meni novel ku baca adegan tiara usia tempat air terjun;neutral
kristentapi mimpi cowoktapi beda kondisi kamar;neutral
cerita wawaq omara palinggggggg luarr nalar sngat susah tebakkantara percaya tdakkkk hubung antra dunia mimpi nyata allahhu alam;neutral
aku gadis mimpi keyemu cowok ganteng mulu toi muka ingat mimpi ulang kali smnjk mnkg mimpih;neutral
cis nonton jarang komen;neutral
update baru re watch jadullll;neutral
ceritain publikemng suami tau anak;neutral
gue pas dateng slalu ketemu cowo mimpi kali kali pokok mimpiin cowo slalu besok haid;neutral
buat sampek;neutral
film saranjana beneran kampung saranjana btw nonton;neutral
hmm mgkn pangeran negeri saranjana kali;neutral
cerita jin jahat paksa ceritain mama alami teman mama cerita mama ku kasi tante;neutral
ingin tahu tiara dunia asli kira kira;neutral
cerita si tiara cerita oma anak temu ayah dunia;neutral
mondokaku mimpi sosok cowo ganteng hadir mimpi ku mmioikan padhl cowo mimpi kawan sekolah kampung lagitpi sllu hdir mimpi ku itudimimpi sedihrindu tangisseperti deja vu disituaku dunia milik dua sllu cerita tmn akukta mrk hnya bnga tidrjd terllu peduli stelah meni dg lki plihan ortukuaku mimpi dg diatp mnikh dg pilhn diaentah apa mksud mimpi berhrp tidk akn mimpi lagitp msih hdr;neutral
btw wattpad;neutral
keren ambil kisah alam n tahu ntuk dunia;neutral
kadang percya kisah orang lihat hantu orang gaib muncul karna ustadz orang gaib jin hantu muncul alam alam ikan hidup alam;neutral
genreny dark romance;neutral
tidur baca doa;neutral
tawar production house film kak nadia omara bagus bikin film romantis lihat video kali kali imajinasi sbgimana kak nadia cerita sgt runtun alur jgn lupa ijin kak tiara;neutral
sumpah allah mimpi umur alur beda jadi kamar skrng pindah kamar abang nikah mimpi horor sensitif sampe skrng alamai usia meni ngerasa janggal kali laki skrng jomblo laki sllu tinggal ingin rukiah bingung mempan ngak ingin up cerita dsini malu bnyak sensitif;neutral
jin rukiyah memangaq mimpi suami manja n main main serupadahl suami samping syatapi respon terllu lebih smpai mesra ranjang tau kalo mimpi suami disampingkuklo mimpi aneh dn berklanjutn memng alngkh baik jngn direspon ditnggapijngn keeplosan kalo kau sadar bhw kau mimpi;neutral
pliiss ceritaa nyaa ceritaa fizzo novel judul nyaaa kinantikaliann haruss bacaa guysss;neutral
wee june kabarin kalo;neutral
suka cerita tpiko iya;neutral
kak bagi kisah horor;neutral
gimana kirim cerita kakak nadia omara gw pgn cerita tau;neutral
dunia beda;neutral
jomblo sering dighosting pilih makhluk ghaib drpd manusia kalo beneran setia sesoft threat;neutral
coba psikoloh;neutral
ehh nama ku;neutral
tiara kak dua;neutral
tiara polos lahir;neutral
kalo tidur ambil air wudhu kasur sih kasur dg baca doa ayat kursi tidur lupa baca doa insha alloh tidur aman ganggu setan;neutral
mimpi bginii cowo kuda warna coklat mimpi cowo mimpi g bicara diem senyum gtau tbtb g mimpi yauda smpe situ;neutral
bayang kalo suami host ampun deh bawel;negative
tau kalo jatuh murah;negative
si tyara kaji kaji agama sadar tipu daya jin setan nyata satu milik hubung asli sadar wew pilih lanjut hubung dunia dg suami lari dunia mimpi rasa nyaman sadarrrr moga tyara lepas rela ruqyah apa hati tyara rela lepas dg;negative
aneh kali anggap cerita wholesome bagus si tiara masuk selingkuh makhluk responnya pukau bilang orang cowok selingkuh ajar cewek slingkuh gapapa gimana;negative
kasihan suami asli;negative
gila masuk selingkuh berat kasi laki;negative
sumpah pas dengar tiktok pikir mana cok abis pikir sedih marah kecewa gini guys emang kasihan pangeran kasihan suami nyata kecewa tiara setia;negative
kaya tiara buta deh rukiah tiara nggk bener kaya;negative
gamungkin kalo jin tubuh dg manusia sampe hamil ngerti gimana sampe hamil anak tiara berhub bdn suami suami rasuk cowo kalo sadar disamperin mimpi tiara terima si cowo bs langsung hamil biar si tiara keluarga tau hamil si cowo nyamperin situ tiara terima kaya tiara mimpi diingetinget;negative
kadung nikmat permaisuri ghoib lupa utk rukyah cerita seru jatuh kasi lakiknya bilang selingkuh kenyataanya mimpi mimpi beneran dunia loh beneran case kasi lakiknya;negative
cerita fiksi;negative
masalah tiara buka hati lelaki ruqyah;negative
cerita mimpi sampek hari berani tidur takut mimpi;negative
cerita horor dongeng;negative
istighfar baper jin woi muka ganteng apa nama jin ubah ubah bentuk amit ngalamin gin mending ruqyah langsung pake baper salting an;negative
nauzubillah min dzalik lindung mu allah jahat mahluk mu aminaminallahumma amin;negative
ampun setan cinta ugalugalan;negative
allahhh tiaraa tiara;negative
khianat;negative
kalo suami tau sakit hati banget langsung si tiara selingkuh sampe anak loh habis pikir jalan pikir polos dongo;negative
tega bangat anjingggg mikirin suami;negative
hayolo tiara;negative
bingung ganteng apa jin ngomng jin ambil anak gugur loh gagara lalak jin hubung badan sgla ampun;negative
kasihan suami;negative
mimpi sampe permaisuri;negative
greget bnget knpa cerita orang hih coba rukiyah greget bnget aduh;negative
kli nonton cerita ku pikir reaksi suami ny dunia nyata lihat anak laki padahalkn suami laki orang mimpiin;negative
tiara kocakkk nikmat tampar kau tiara;negative
gilaaa;negative
x dengerin cerita tetep greget suami suami ko ngga dukung istri ceritain istri cemburu endingnya antem greget banget apaaa salah ciri patriark cowo dominasi gimana ngga meleng cowo mimpi suami rl coba kau si suami dengerin pecahin bareng mimpi ulang agama berat emang ngga wajar kalo ngga percaya gaib minimal anter psikolog diceritain endingnya ngga bahas bom;negative
halu hehe maaf kak in my opinion kak tiara ngehianatin suami kasihan suami;negative
tiara jahat yahh mikiran suami;negative
kak tiara takut video liat suami kakak;negative
sekian komen nebak kalo cerita setting percaya begitu cerita masuk akal banyak cerita anak jin anak perut tinggal lahir;negative
dengerin tig kali amat tiara gatal;negative
anak jin;negative
gatel banget nyuruh tiara ruqyah;negative
kasihan laki;negative
greget banget tiara anjayy;negative
selingkuh turut kalo sadar ruqiah cari sembuh suapaya ganggu kasihan suami dibohongin batin;negative
fiks disukain jin jin ganteng lihat ganteng manusia nama jin bentuk proporsional alias aneh;negative
naudzubillah moga hamba adekku jauh aamiin allah;negative
absurd klok orang awam langsung ruqyahyaallah mind blowing kakak tiara moga dilindungin allah swt;negative
yaampun ngeri banget cerita iya cerita keluarga mimpi kali kali mimpi hubung badan hamil yaallah nauzubillah;negative
tiara agama islam tau ttg jin agamaislam gugur x malaysia ruqyah ajar kitakalo mimpi bener ustad ruqyahcueknya tiara bahaya lho allah astaghfirullah tiara seintrovert manusia tiara juga curhat ustadz ruqyah pas dewasa jujur sebel tiara iniitu tipu daya jin allah astaghfirullah tiara;negative
jin maksa nunggu cewenya suka seram cowo cowo dunia nyata cerita creepy sihh;negative
harusdi ruqiah itu bangsa jin;negative
kak tiara mending ruqyah takut adaikatan jgn sperti orang jin jin tinggal dunia masuk alam kubur tinggal brsma fi alam jin;negative
nonton jijik banget tiara cewek komen gw cewe lu baper jahat loh bikin gugur mentang ganteng langsung rahim lu anget wujud asli rem itungannya selingkuh eww kasi banget suami lo mending lo cerain laki lu deserve better;negative
tiara dighosting kang ghost;negative
tiara parah bngettt;negative
dengar ustadz zulkifli pasang suami istri beiau cerita istri nafsu suami istri datang pria tampan slalu hadir mimpi tubuh mimpi istri ruqiah ustadz;negative
fiktif kalo bener takut suami kalo cerita sampe telinga suami;negative
tipu daya iblis;negative
jujur pas kali nonton pas up wahhh seru yatapi nonton ulang ngeh gila banget cewe jujur kecewa kak tiara mikir bilang penghianatan suaminyabayangin suami nyariin pas hilang eh istri selingkuh makhluk gaib plis baper plis istighfar dehkalian banyak haluaku baca webtoon heran ken ngerasain tiarahey setan kalo berhayal wajar lahkalian liat banget orang ken ngerasain mc ceritahelooo dunia nyata cerita cerita novel dll bikin orang gila ken per utama dunia nyata yaaaaa plisss istighfar islam;negative
menit cerita mirip ku alami beda temu lakilaki mimpi ku ustadz bantu obat ku kena sihir si mantan tunang beliau difikirkan pikir moga jawab ambigu nyata mimpi ku sedih selisih suamidalam kerja rindu rindu rindu rasa menang sedih kecewa suami;negative
kekmanapun jin tiaraaaa istighfaar sampe anak nampaknua cerita indah ttp jin;negative
kalo karang pls kecawa cerita manhwa pls ngebayangin duke pangeran ganteng banget;negative
percaya beneran sumpah;negative
gin anggap bunga tidur;negative
nonton vd karna ngalamin kak tiara mimpi cowo tau wajah pakai mimpi emg gapernah ngajak ngobrol gmn mimpi bangun slalu ngerasa kangen ngga berani cerita mimpi bbrp pria datengin bilang jauhin pria ngobrol;negative
gimana suami tau anak;negative
apa tiara;negative
kak tanggung telat jemput ibu pulang kerja dimarahin;negative
jujur gw kasi ama lakiknya kalo diceritain gakan percaya gimana kalo laki ngeuh kalo yangbdicerita istrinua syok;negative
jujur kasihan suami kalo suami tau kecewa berat tiara g pilih ruqiah;negative
bisa hubung badan pikir suami;negative
emang ruqiah nauzubillah dekat allah swt nauzubillahiminzalik;negative
asa obseeed sumphhh cowk gaib;negative
kalo suami tau gimana rasa apalgi brani up nadia tau konsekuensi;negative
mimpi cerita detail mungkin imajinasi tiara;negative
ku salah si tiara ganggu mimpi wajar si tiara nyari orang pintar putusin hubung si pangeran;negative
istri waras laki waras nenek waras fyi ngetik gin ngetik bilang istri waras karna istri buka terang keluarga bilang suami waras karna istri sdh ngasih tau suami spele istri bilang nenek waras iya waras tiara munculin laki usaha ngomong suaminyakakeknya tiara ibu tiara bpk tiri tiara sima cerita kak nadia kayak nenek tau sosok laki tiara hilang apart nenek ngelarang suami ngelapor polisi karna tiara hilang sdh sangatjanggal inti pyur salah tiara nenek suami tiara terlau sepele suami berfikir dg jernih mimpi tiara sinkron banget tiara suami mimpi difikir logis tiara nikmat buka ibu buka mulut orang bnr waras bawa hidup si cowok detik mandi air terjun pria nalar masak ngeh ketemu dg basah kuyup nyambung banget mimpi harap suami baca biar istri bawa ustad biar ruqiah suami intropeksi karna dg tenang istri mimpi;negative
nonton ulang dlu pas umur mimpi kali cwo beda langsung cerita orangtuaku tiara diam cerita kakek doang dlu langsung doa bersih hey jin tiara kena tipu daya jin hemmm;negative
ihh beneran gasii kalo emg beneran anak kembar gimana sampe kasih tau suami keluarga ttg mimpi hubung badan;negative
mimpi dekat laki lakitpi mimpi beberp laki laki dekat akutpi neng kama takut suami mkny kalo mimpi waspada;negative
si wak bawain ajhkag bacot biar enak denger;negative
kasi banget suami allah;negative
tiara bungul iman lemah ruqiah;negative
takut mimpi laki ganteng banget datengin;negative
astaghfirullahalazim sukar percaya tiada mustahil allah;negative
maka kalo tidur pasang alarm;negative
perasaanq campur aduk dengar kisah takut iri sedih stres tiara;negative
takut gini kak nad si kak tiara ruqyah bikin lupa putus hubung si pria si kak tiara diamdiam maaf spekulasi liar gila ku ambil hati si kak tiara diam diam momen temu si pria nikmat karna setan jin kak nadia;negative
bener cerita gini jin ganteng asli genderuwo buto ijo ngeri banget;negative
mbak tiara knpa kali kau gercep ustadz orang ngerti agama kau mimpi datang pria betah kali kau wak kasihan denger cerita;negative
gimana gimana umur tiara tiara bs skip ultahnya ato tiara bohong;negative
dengerin cerita tiara tanya tiara curiga mimpi jin jin manusia bs satu beda alam salah mutusin hubung ruqyah syariyyah dekat allah sholat sunnah zikir pagi sore baca quran istiqomah bs dekat psikologi ustadz faizar kmren podcast densu tiara cinta jin hubung suami istri ruqyah kluar tanah coba deh tiara ber obat kasihan suami anak anak biar lbh tes dna anak suami tipu daya jinsyaitan rela nikah manusia;negative
jin bahaya akhirat;negative
sepsnjang nonton bilang coba tiara;negative
aneh klian pd pecaya cerita kalo emng nyata;negative
logis;negative
kisah halu wawak;negative
telat taun nontonnya kecewa endingnya maksud tiara meni dengar dengar kisah posisi tiara milik suami dunia nyata kasi suami ujung tengkar tiara cerita salah tiara anggap sosok pacar tiara kisah tiara dengar kisah ambil ajar kuat iman mudah buai hasuran jin setan berani cerita;negative
ngeri ih hamil amaa jin;negative
kasihan perasaan suami gelisah pikir;negative
kyknya cerita karang mbak;negative
sa mba nad tiara benci kali;negative
emang anjing tiara;negative
kecewa gua si tiaraa;negative
