Cleaned_Text,label_prediksi
bingung asli nyata engga real emang manusia hamil anak ji,positive
gilaaa cerita keren,positive
takutt banget ihhh tiara istifgfar ngapa tiara,positive
plisss seru banget kalo jadiin film,positive
emang indah epik sisi milik kasih gaib nikah susah,neutral
pas ngesex si tiara nikmatin kasi suami sengaja ngga ken lepas kksih ghoibnya y karna si tiara doyannga ush sok sok ngebilang romntis bayangin posisi suami sepelein mimpi y karna emang mimpi karna si tiara lanjur engas mhluk nikmatin kasi suaminyaemosi denger kali,negative
tiara anjg,neutral
karna buta mata jin ganteng buka mata bati jelek jin rupa manusia sosok manusia sempurna allah cipta lupa kak tiara baca rotibul hadad selesai magrib dzikir pagi peta ng karna ampuh benteng buruk,negative
nonton nadia omara kali rada percaya baca cerita gin wettpadnoveltoon dmn pokok lupa cerita lumayan gin versi singkatpadat kalo baca emg bnr ceritain detail nyabut we never know guysss,neutral
gila kisah banget alami kaka perempuan ku dlu sosok laki tampan pakai raja dtng mimpi karna bawa kakak ku alam mimpi kakak ku sadar sadar kakak tolak karna kaka anak sosok cowok dtng mimpi julur tngn kakak ku sama untung kaka ku kalo tau kakak bkal bangun ngak sosok laki dtng ikut cahaya terang bawa dunia berpakain raja,neutral
suami tiara,negative
tiaraaa wkwkw kamuu senang bingung ngelepasinya iyagak wk,positive
beneran gasih sumpah emg cerita gni gila expect banget critanya,negative
ihh penasaran muka anak anak plssss kakak tiara tolong lihatin anak anak mu,positive
urus gin suami tau rukyah,negative
bagus cerita jadi film kasi mbak tiara sampe suami tau mimpi terahir karna suami tau mbak tiara mimpi hubung pageran sampe viral jadi film gimana asa suami mbak tiara mbak tiara bingung sisi kagum banget cerita kisah mbak tiara ingin pangeran mbak tiara sampe ikat jujur suka banget cerita,negative
ceritaa bosen didengerin emng bagus keren parahh,positive
selingkuh manusia selingkuh jin moga suami tiara istri aamiiin,negative
gila seru banget cerita kali bingung takut salting,positive
omggg seruuuu iniiii,positive
kak tiara indonesia,neutral
lanjut,positive
tim percaya,negative
si tiara pendam cerita jujur tolong kyairuqyah,positive
wak sinkron dunia mimpi dunia nyata kasi suami tiara,negative
smphh ak tdi nonton kakak warung bu leli durasi ny lamaa bgtt smg notice kakak nadia dn ak slm ini notice kakak nadia,neutral
kenawhy,neutral
rem sihjujur gasuka hantu jin ginikayak trlalu paksa manusia gitumaunya manusia suka jirr iyuh,neutral
kak semangat,neutral
dear kak nadia kesini nonton hehe,neutral
bikin manhwa keren banget,positive
baca novel,neutral
brati cwe pnya suami beda stunya dalam mimpi,neutral
tau,negative
bor ghaib,neutral
hidup,neutral
lucanne woii,neutral
kisah smp kuliah dimimpiin ketemu lakilaki tampan tampil agam santri mimpi pandang si lakilaki mimpi berani cerita pas berani pacar dunia nyata mimpi lakilaki pandang ubah marah milik milik dewasa meni dengan tampil lakilaki ubah tua mimpi terkahir berani cerita takut alhamdulillah percaya langsung bawa ustad ruqyah suruh tinggal sholat mamah doain alhamdulillah dimimpiin kalo temu orang lakilaki dekat sosok lakilaki marah ikut mana pergi meksipun dimimpiin efek sensitif bikin stress coba berhusnudzon usaha tinggal ibadah sholat fyi bapa langsung percaya aku cerita mamah lihat alami gaib cerita cerita cerita khayal hidup damping makhluk kasat mata percaya tolong allah swt apa moga hindar musibah,negative
rukiah saran wawak kisah tukasihan suami,negative
mimpi ceritain kak nadia x hilang,neutral
keinget alami beda lihat muka sedikit tau orang tampil normal manusia pakai hoodie tudung,neutral
moga tiara bahagia tukar anak inti suka cerita,positive
bahagia dengar cerita,positive
gue nonton,neutral
rem y,positive
ngebyanginn bangetseruu poll ceritanyyaa,neutral
video cerita epik bener anak kembar wa,positive
gmna lanjut kakak nad,positive
pikir si tiara reinkarnasi mimpi kali si raja bilang kabar kasih ku temu hmmm,neutral
gaada inisiatif film kali nonton bosen bosen,neutral
anak kembar ny hidup dunia smpe,neutral
lol macem cerita webtoon,positive
bneran sii,positive
tonton,positive
sadar ulang in baper,positive
coba absen guys kisah super epick,neutral
mah twilight bella swan pacar nikah edward kaum jin,neutral
mimpi laki muda anak pakai sopan pake peci hadir mimpi laki tatap ku aneh ngajar ngaji anak nyata anak mimpi masuk kamar anak dalam temenmu masuk anak bilang bu aneh anak umur anak pakai mimpi,neutral
ngerti deh terterror mimpi nyampe takut tidur gugur x mimpi suami mimpi cowo bisabisa cerita ngegali suami orang yaudah lupain bahas yaallah bisabisanya harap ketemu cowo gangerasa benci cowo yaallah tir bela lu blng lu nganggep pacar gila si gaabis pikir pikir sakit disakitin fisik tiara plis cowo mimpi lu neror lu ngambil anak lu concern lu lu stress gugur cetus tengkar suami lu film horor orang bodoh teror ttp tinggal sana maaf tiara bikin greget revisi suami bodoh trnyata si cewe emang radarada langsung cerita suami lbh bodoh denger ngajar ribut si cewe usaha cerita mimpi lohh ulang bertahuntahun bodoh revisi emang tiara radarada revisi tiara emang bodoh kesel deh luuu tuhh selingkuh bjir jatohnya setan setan skli gilaaa bingung deh like dislike gausah cerita nadia cerita keren banget sgt profesional non jugde keren nattt,negative
hy gyss malaysia salam kenal yh,neutral
suami tiara tau anak anak kandung dalam mimpi suami tiara mimpi lelaki mimpi,neutral
percaya cerita tiara kasihan,negative
kynya kisah nyata kalo kisah nyata suami istri aneh pst min konsultasi kyai ato ahli spiritual usaha menhawab peetanyaan mimi aneh bareng mimpi kalo normal pst konsul diem,negative
penasaran si tiara,positive
pria nama walid,neutral
cerita anggi kalapuna om mongol anggi tolak si cowok,positive
suami kalo lihat gimna asa nyaa tau,negative
speechless cerita bilang lumayan cerita temenku pernikahanberhubungan badan suruh teman ghaibnya cari batu kristal untung teman lepas teman ghabi but teman tetep inget hiks,positive
lihat poto anaknyaaa,neutral
mimpi ulang emang karna mimpi ulang kali,positive
baca cerita kalo mimpi laki laki sampe hubung badan jin rem banget coiii usahain kalo tidur wudhu baca doa wawakkkk,negative
detik suara,neutral
team nonton th,neutral
doa kyai,neutral
keinget luk kak,neutral
terkadang beda alam beda dimensi setia,neutral
omong kosong,neutral
merinding euy,positive
nonton apakabar kak tiara lanjut cerita gimana solusi kasi suami,negative
guys awa ganteng inget jin kelabu manusia jgn halusinasi ken jga didatengin bentuk kya pangeran watpad,negative
pingin bagi kisah sembunyi gondoruwo n akhirx mnjadi jaga diri gmn carax kak,positive
suami tiara tntang wajah anak,positive
plss anak ganteng,positive
terusperasaan suami kalo tau gimana,negative
film keren,positive
berat si tiara hati tolak hadir cwo mknnya pikir dirukiahkrna smpe hubung bgtu cwo ghoib brti ddlm hati suka cwo ghoib,negative
ihh suka looo,positive
kasi banget yaharus berani ambil resiko mbak pengantin setan itudia pilih suami dunia nyata dn bahagia,negative
video pertamaa nadia omara guaa tonton,neutral
nggantung critanya parahh si pdahal rajin ibadah g ad besit utk ruqyah sadar ganggu jin anak ambil jin maaf aj kesi x suami msh brlanjut smpe parah si parahh mending pisah suami nyata kasi zhalimm,negative
duh penasaran tiara gimanaaaa,positive
gmn yoo,positive
naudzubilahimindzalik ruqyah tiaraaaaa ruqyahhh,negative
mimpiin mantan terus mimpiin dian gimana hilangin wajah pikiranga mimpi,neutral
rate nol tambahin triliun lagiibagus banget jirr ini,positive
dlu sblm nikah iy banget ky pacar cwok ganteng pke baju pengantin cwok solo ganteng lbih lee min hoo pas bpku dh ninggal nikah cwok bpkku maki bilngaku ngerestui jngn bawa anakkutrus cwoknya jwb milik utuh suara wibawa banget pokok sblm nikah bnyk banget mslh bln sblm nikah ajak rumah cwok eh ibu cuantikkkkk banget mimpi diikutin suami dlu suami tmnku ponakan bilnglari cpt lariitrus nengok suami nengok cwok ganteng rumah ny serta ibu ubah jurang cwok ganteng ubah gederuwo ibu ubah mbk kunti sumpah takut tidurmau ruqiah takut sblmnya cwok banget mimpi ganteng ngjk jln ngjk main asik banget romantis eh wohhh ngeri sblm nikah yng fisik kuat jrng sakit pas tentu tanggal tibatiba banget msuk ugd x dngn penykit aneh azan magrib smpe subuh demam tinggl tindih ditampkin mcm pokok gila banget kepisikolog bilang depresi rumah bersih ibukku saudara yng nyingkirin posisi rantau diimpiin rumah kejar harimau gedueeee bngtttttttt eh ubah bpk pke blangkon bilang jngn takut ndok senyum lngsung bangun mimpi aneh,neutral
cerita guys bangun malam bangun jam an baju bra ku buka minggu bangun jam an sorry bangun telanjang pinggang bawah baju ku tutup rapih cerita ges,neutral
ekstrim cerita,positive
bawa dunia fantasi,neutral
sungguh getar mimpi nyata,positive
suami nonton ntar tahu isi mimpi,neutral
si cowok raja ini cinta tiara,positive
nonton dtunggu kak,neutral
suka banget sampai bawa cerita masihh bingung hamil udahh pas hubung badan air terjun,positive
khayal dongeng halusinasi kronis hahabentar film kkn booming deh hehe,negative
maret hadir,neutral
mbak ngasih cerita gmna,positive
si sosok sakit tiara sakit suami sakit,neutral
gin selingkuh jin,negative
ken tau muka anak mbak tiara kasih gaib,neutral
anak anak jinterus gmna proses kembang anak manusiasecara hubung badan jin,negative
brrti letak raja air terjun deket rumah nenek,neutral
maaf cerita fantasi si kalo bener jahat banget kakak tiara sampe hasut sampe hubung badan adil suami kakak tiara maruk donk ken fantasi si bikin film sesuai percaya kisah kakak nad cerita dasar kisah kirim bener tidak kisah kakak tiara tolong kuat iman doa sang kuasa karna milik tiada hendak hendak,positive
seram romantis,positive
gedek saa tiara cerita keluarga cerita nadia omara,neutral
so sweet banget pangeran kalo mah senang,positive
enak banget anak ganteng bangetjadi ken,positive
hasil tes dna anak kembar gimana,positive
kepo ama muka anak anak tiara,neutral
ustadz bersihin tahan sampe bas,negative
tiara salah kak tiara memberitauh suami keluarga mimpi pergi rukiah sayang banget kak sampe kakak gugur kali cerita takut tolong kak hubung salah kakak putus hubung beda dunia,neutral
bikin novel seru cuyy,positive
baperterus terbayangbayang terngiangngiang,neutral
cerita lalu sehinggah sosok ikut,positive
laki mimpi tiara marah kecewa,negative
kalo bikin novel bagus sihhh,neutral
gw baper sampe nang mikir kalo si pangeran green flag sampe jadiin selingkuh but creppy kalo wujud asli pangeran om ruwo mba tiara langsung istighfar kaget dahh sampe hubung badan kasih tanda milik,negative
nonton cerita favv seru bgtt,positive
allah cipta jin manusia ktnya jin meni manusia wujud manusia,neutral
seruuuutp ngeri,negative
gue nang,neutral
percaya,negative
kakak kalo anak dunia nyata mana,positive
kak nad ku cerita gin hidup nyata loh karna ngiranya novel baca novel persis giniternyata eh dunia nyata,neutral
beneran ap bikin,negative
kakak nadia tiara sosmed pengin lihat anak kembar gimanaa,positive
anak engga tes dna wkwk,neutral
kak kiraanaknya dmna,neutral
seru banget film,positive
merinding banget,positive
parah suami dengerin mimpi istri jdnya istri libat jin berani cerita nyari bantu,negative
anak tau bapak mimpi,neutral
guys teori angka umur mimpi kalitrus hamil kali kali gugur anak diambilada sidik jari bahunyadan kabar hamil,neutral
