Author,Comment,Comment_casefolded
@latifhhrahmah_syam3002,Menurut ku ini si gak serem karna dunia lain itu memang ada ...,menurut ku ini si gak serem karna dunia lain itu memang ada ...
@pauliana-00,"istighfar istighfar istighfar 

bisa jadi gangguan jin, bisa juga gangguan halusinasi bahkan delusi.","istighfar istighfar istighfar 

bisa jadi gangguan jin, bisa juga gangguan halusinasi bahkan delusi."
@EuisRatna-g1y,"Luar biasaaa tiara,kmu wanita yg bruntung","luar biasaaa tiara,kmu wanita yg bruntung"
@PhoenixForce-d8i,njir macam novel fantasi 😮,njir macam novel fantasi 😮
@RynaAdi,Jadi pengen mimpi kaya tiara 😭😭😭😭,jadi pengen mimpi kaya tiara 😭😭😭😭
@wannurulsafika-b3n,this story is sick,this story is sick
@rintawulandari3891,"plot twist bgt. ngeri, seru, dan di luar dugaan akhirnyaa. huwaaa","plot twist bgt. ngeri, seru, dan di luar dugaan akhirnyaa. huwaaa"
@riaameliya126,Seru Ya Ceritanya. Btw ini 3x Aku Rewacth Eps ini. Karena Gabut aja Klo GK ada tontonan 😂,seru ya ceritanya. btw ini 3x aku rewacth eps ini. karena gabut aja klo gk ada tontonan 😂
@AsmuiMui-g7h,"Malah bukan kyk mimpi, kyk cerita dongeng.. kok aku baper ya😂 pngn ngerasain juga","malah bukan kyk mimpi, kyk cerita dongeng.. kok aku baper ya😂 pngn ngerasain juga"
@rizkaelektrical2043,Ngeriiii banget,ngeriiii banget
@lailanurfarida-m3z,udah rewatch brp kali ga keitungg😭😭,udah rewatch brp kali ga keitungg😭😭
@Zahrazalfa-p9c,Siapa yang di sini nonton nya di tahun 2025 😊😅😢😊,siapa yang di sini nonton nya di tahun 2025 😊😅😢😊
@RRRtv123,Ya ampun kenapa setan bisa mencintai secara ugal²ugalan gtu ya... 🙄,ya ampun kenapa setan bisa mencintai secara ugal²ugalan gtu ya... 🙄
@Jiyacchi,Bagus sekali ini kak😊😮😮🎉🎉🎉🎉🎉,bagus sekali ini kak😊😮😮🎉🎉🎉🎉🎉
@mozhallatte0619,Harusnya tiara tanya sm neneknya deh ...dimimpi pertama kali ada neneknya yang mencegah tiara diajak pangerannya ..mngkin ada kaitannya sm neneknya kali ya....???,harusnya tiara tanya sm neneknya deh ...dimimpi pertama kali ada neneknya yang mencegah tiara diajak pangerannya ..mngkin ada kaitannya sm neneknya kali ya....???
@andinurulmuhklisa4918,kayak dunia fantasi pls ceritanya seru tapi agak serem klo jin😭🙏🏻,kayak dunia fantasi pls ceritanya seru tapi agak serem klo jin😭🙏🏻
@NatayaSalsabilla,kak ini cerita nya hmpir sama kaya aku aku ngalamin udh mau 2tahun dan beneran kaya nyata bhkan belaian dri sosok itu kaya nyata bhkan ada bagian yg di kiss dan lidah sosok itu sangat sangat kasar dan minggu lalu aku bru brani nyeritain ke keluarga ku dan aku di obatin allhamdulilah smpe detik ini aku udh gprnh ngalamin kejadian kya gt lagi🥹,kak ini cerita nya hmpir sama kaya aku aku ngalamin udh mau 2tahun dan beneran kaya nyata bhkan belaian dri sosok itu kaya nyata bhkan ada bagian yg di kiss dan lidah sosok itu sangat sangat kasar dan minggu lalu aku bru brani nyeritain ke keluarga ku dan aku di obatin allhamdulilah smpe detik ini aku udh gprnh ngalamin kejadian kya gt lagi🥹
@IsmiAprilia-m2j,ya allahhh tiaraa tiara,ya allahhh tiaraa tiara
@TitaaWidi,"Naddd, gueee merinding denger ceritamuuu😭😭","naddd, gueee merinding denger ceritamuuu😭😭"
@zhrzlb348,Baper ama jin,baper ama jin
@EAtikah-y1v,"Ya alloh kami tambah suka sm nadia omara,gerakan nya bisa bngt cerita mimpi seprti nyata ank raja suka sm wanita nama tiara gtu","ya alloh kami tambah suka sm nadia omara,gerakan nya bisa bngt cerita mimpi seprti nyata ank raja suka sm wanita nama tiara gtu"
@WahyuPutri-y8h,Ini pengkhianatan:),ini pengkhianatan:)
@2013-o1i,Untung bukan horor,untung bukan horor
@renaameliafitri944,"Ini klo suaminya tau pasti sakit hati banget, secara gak langsung si tiara selingkuh sampe punya anak loh aku gak habis pikir sama jalan pikiran dia antara polos atau dongo","ini klo suaminya tau pasti sakit hati banget, secara gak langsung si tiara selingkuh sampe punya anak loh aku gak habis pikir sama jalan pikiran dia antara polos atau dongo"
@Rezkianaidrasalmah,"Maaf kalo cerita ini asli apa Tiara nya gak takut kalo suami nya mendengar cerita ini ya??
Tapi btw ceritanya sangat menyentuh hati,,
Semoga Tiara menemui jalan yg benar","maaf kalo cerita ini asli apa tiara nya gak takut kalo suami nya mendengar cerita ini ya??
tapi btw ceritanya sangat menyentuh hati,,
semoga tiara menemui jalan yg benar"
@ViviNovita-nq4bm,seandainya aku bisa di posisi dia. di cintai tulus 😢,seandainya aku bisa di posisi dia. di cintai tulus 😢
@ikediniyala,kasian suami nyaa :((,kasian suami nyaa :((
@nitalumingkewas2413,"Aq juga ngalamin hal yg sama. Aq mulai mimpiin ""dia"" semenjak aq SMP smpe aq nikah. Akhir nya aq bilang k suami q. Akhir nya suami q bawa aq k seorang ustadz.... kata nya emang itu bkn cuma mimpi biasa. ""Dia"" yg aq liat emang ganteng bgt, tp kata ustadz, ""dia"" itu gk setampan yg aq liat....wajah asli nya hancur.... dia itu berwujud ular stengah manusia. Setelah aq d bantu biar jauhin ""dia"".... aq mimpi lgi, tp ""dia"" nunjukin wujud asli nya. ""Dia"" pamit.... Dan skarang ""dia"" gk pernah dtang lgi d mimpi q....","aq juga ngalamin hal yg sama. aq mulai mimpiin ""dia"" semenjak aq smp smpe aq nikah. akhir nya aq bilang k suami q. akhir nya suami q bawa aq k seorang ustadz.... kata nya emang itu bkn cuma mimpi biasa. ""dia"" yg aq liat emang ganteng bgt, tp kata ustadz, ""dia"" itu gk setampan yg aq liat....wajah asli nya hancur.... dia itu berwujud ular stengah manusia. setelah aq d bantu biar jauhin ""dia"".... aq mimpi lgi, tp ""dia"" nunjukin wujud asli nya. ""dia"" pamit.... dan skarang ""dia"" gk pernah dtang lgi d mimpi q...."
@椎名まひる_2,Pengen liat anakkknyaaa,pengen liat anakkknyaaa
@SusiWulandari-eo9jv,KWH ini akan menjadi KWH rerforit aku 😁😁😁 42:16,kwh ini akan menjadi kwh rerforit aku 😁😁😁 42:16
@iqaatiqah4674,Ya sepatutnya Tiara perlu diruqyah pada pendapat saya.. di Malaysia memang famous cerita-cerita begini.. tambahan pula kisah ini seperti kisah orang bunian kami panggil di Malaysia.. banyak kejadian daripada kisah orang bunian ini.. masuk dalam mimpi pun boleh.. wujud di alam nyata pun boleh tetapi hanya orang tertentu sahaja boleh nampak terutamanya hijab terbuka.. ini perkara biasa terjadi.. pernah ada orang hilang berbulan bertahun baru jumpa.. potensi untuk selamat balik ke dunia nyata 50/50 sahaja.. itu yang saya tahu,ya sepatutnya tiara perlu diruqyah pada pendapat saya.. di malaysia memang famous cerita-cerita begini.. tambahan pula kisah ini seperti kisah orang bunian kami panggil di malaysia.. banyak kejadian daripada kisah orang bunian ini.. masuk dalam mimpi pun boleh.. wujud di alam nyata pun boleh tetapi hanya orang tertentu sahaja boleh nampak terutamanya hijab terbuka.. ini perkara biasa terjadi.. pernah ada orang hilang berbulan bertahun baru jumpa.. potensi untuk selamat balik ke dunia nyata 50/50 sahaja.. itu yang saya tahu
@SultanAbyan,Tega bangat anjingggg ... dia nggak mikirin suaminya?😮‍💨,tega bangat anjingggg ... dia nggak mikirin suaminya?😮‍💨
@khusnulfitriana6216,Hayolo tiara,hayolo tiara
@evelynajolie,gilaaa siii ini cerita bener’ aku kaya masuk ke dunia fantasy nya selama bercerita bener’ masuk ke hati bangett,gilaaa siii ini cerita bener’ aku kaya masuk ke dunia fantasy nya selama bercerita bener’ masuk ke hati bangett
@RaijinDane,"Bingung sih seganteng nya apapun jin itu, masih bisa ngomng kayak ini jin itu ga ambil 3 anak nya. Keguguran loh gagara lalaki jin itu. Terus sampai berhubungan badan sgla lagi ampun","bingung sih seganteng nya apapun jin itu, masih bisa ngomng kayak ini jin itu ga ambil 3 anak nya. keguguran loh gagara lalaki jin itu. terus sampai berhubungan badan sgla lagi ampun"
@HalloPuji,Agak Kasiannn sama suaminya 😭😭,agak kasiannn sama suaminya 😭😭
@fatimatuzzahroh8004,gimana kabarnya si cewenyaa kak sampe skrng? apa masih bermimpi tentang cowo itu lagi?,gimana kabarnya si cewenyaa kak sampe skrng? apa masih bermimpi tentang cowo itu lagi?
@missrain9233,Cerita yg lain aku percaya tapi 2 cerita yg gk begitu aku percaya d KWH. 37 kodam sama ini. Cimiwiw,cerita yg lain aku percaya tapi 2 cerita yg gk begitu aku percaya d kwh. 37 kodam sama ini. cimiwiw
@LuluFadhila-b5v,Cerita ini memang kaya dongeng tapi saya pernah mendengar dari ustad bahwa manusia bisa saja disukai atau dicintai jin. Dan jin tidak segan untuk membuat cerai hubungan manusia. Ngeri kali kalau jin sudah suka manusia,cerita ini memang kaya dongeng tapi saya pernah mendengar dari ustad bahwa manusia bisa saja disukai atau dicintai jin. dan jin tidak segan untuk membuat cerai hubungan manusia. ngeri kali kalau jin sudah suka manusia
@ummusalman3520,"Lelaki dlm mimpi itu adalah jin,alangkah baiknya jika Tiara di ruqyah","lelaki dlm mimpi itu adalah jin,alangkah baiknya jika tiara di ruqyah"
@MimiOktavia-k7n1c,buat lagi dong cerita tentang percintaan beda alam suka banget,buat lagi dong cerita tentang percintaan beda alam suka banget
@asminasmin4078,Berarti tiara disukai sm jin,berarti tiara disukai sm jin
@VPNServer-fp1jb,"Up.
Nonton di september 2025 krn br punya wifi😁

btw kog si Tiara sepnjang cerita gk nyebutin nma si pria ghaibnya ya.
bneran tdk thu ,,/ gk mau ngasih tahu .
Kyaknya kak Nad jg gk nyebutin nma wlo nma samaranpun😁

si suami Tiara psti curiga dg ank kembarnya klo mukanya itu emg mirip dg si pria ghaib krn kan trhitung sdh 4x ktmu di mimpi.
Lgian jg klo gk ada gen kembar gk mungkin punya kturunan kembar.

gk takut yaa,,,mskipun kliatn gnteng tp kan aslinya 👺❌
Bner2 kisah yg luuuaaarrr biaaasssaaa","up.
nonton di september 2025 krn br punya wifi😁

btw kog si tiara sepnjang cerita gk nyebutin nma si pria ghaibnya ya.
bneran tdk thu ,,/ gk mau ngasih tahu .
kyaknya kak nad jg gk nyebutin nma wlo nma samaranpun😁

si suami tiara psti curiga dg ank kembarnya klo mukanya itu emg mirip dg si pria ghaib krn kan trhitung sdh 4x ktmu di mimpi.
lgian jg klo gk ada gen kembar gk mungkin punya kturunan kembar.

gk takut yaa,,,mskipun kliatn gnteng tp kan aslinya 👺❌
bner2 kisah yg luuuaaarrr biaaasssaaa"
@omaholivee7696,"epic bgt...gk sadar udh dengerin cerita ini brp x...sampe apal jalan ceritanya...
naik jd film kaya sumala...pasti keren siiii...","epic bgt...gk sadar udh dengerin cerita ini brp x...sampe apal jalan ceritanya...
naik jd film kaya sumala...pasti keren siiii..."
@AlZidan-vt2xk,"Di Thun 2025 umur ny Tiara 31, seumuran SM ku😩","di thun 2025 umur ny tiara 31, seumuran sm ku😩"
@ayhukartinii3766,Episode ini aku suka banget sih 😊😊,episode ini aku suka banget sih 😊😊
@ihdaNurhasanah,"aku liat di vidio FB, krn penasaran lanjut kesini kk😍  berharap ada season_2 nya kak ..😄😄","aku liat di vidio fb, krn penasaran lanjut kesini kk😍  berharap ada season_2 nya kak ..😄😄"
@itafaoziah7636,Aku kasian sama suaminya 😢😢😢😢,aku kasian sama suaminya 😢😢😢😢
@ariffiyanti1980,Typo dikit enggak ngaruh yaaa 😂😂,typo dikit enggak ngaruh yaaa 😂😂
@mochammadali2791,Enaknya yaa bisa bermimpi seperti itu😢,enaknya yaa bisa bermimpi seperti itu😢
@AdiGrahono,Part 2 nya tolong kak di lanjut😭😍😘mungkin sekarang itu bocah kembar dah SD.pasti ada cerita2 terbaru nya.dihubungi coba kak yg ngirim cerita 😭😍😘,part 2 nya tolong kak di lanjut😭😍😘mungkin sekarang itu bocah kembar dah sd.pasti ada cerita2 terbaru nya.dihubungi coba kak yg ngirim cerita 😭😍😘
@AdiGrahono,"Sejauh ini ,ini cerita yg paling bagus kak.sumpah😭😍😘","sejauh ini ,ini cerita yg paling bagus kak.sumpah😭😍😘"
@gendhutcomel4916,2025 sini ngumpul 🤗,2025 sini ngumpul 🤗
@mayanurmaf6105,Tiara rukyah pliss plisss,tiara rukyah pliss plisss
@KRISDIYANTORO95,Selingkuh hayooo,selingkuh hayooo
@Kylealexsavanilla,lah milik ku? 😭😭😭,lah milik ku? 😭😭😭
@ayutriastuti5890,Ga ada part 2nya ya,ga ada part 2nya ya
@DeaPramaisela-y5f,"Trus itu anaknnya anak jin gtu,kasian sama suaminya tapi kalo cerita pasti di kira selingkuh.
Bisa²nya dia masih inget mimpinya dri umur 10 thn 12 thn sampe skrang.mungkin jin itu udag suka sama dia dari ka tiara kecill","trus itu anaknnya anak jin gtu,kasian sama suaminya tapi kalo cerita pasti di kira selingkuh.
bisa²nya dia masih inget mimpinya dri umur 10 thn 12 thn sampe skrang.mungkin jin itu udag suka sama dia dari ka tiara kecill"
@faizafaija4300,Cuma mimpi bisa sampe jadi permaisuri😭,cuma mimpi bisa sampe jadi permaisuri😭
@AnggiYolanda05,Nonton ulang absen dari 2025,nonton ulang absen dari 2025
@taata24,"greget bnget knpa sih ga cerita ke orang2 hih
coba rukiyah kek apa kek greget bnget aduh","greget bnget knpa sih ga cerita ke orang2 hih
coba rukiyah kek apa kek greget bnget aduh"
@MahgindaRakaRaka,Aku udah 2 kli nonton cerita ini yg masih ku pikirkan adalah kayak mana reaksi suami ny di dunia nyata saat liat anak nya mirip sama laki2 lain padahalkn pasti suaminya ingat sama laki2 itu orang pernah di mimpiin juga,aku udah 2 kli nonton cerita ini yg masih ku pikirkan adalah kayak mana reaksi suami ny di dunia nyata saat liat anak nya mirip sama laki2 lain padahalkn pasti suaminya ingat sama laki2 itu orang pernah di mimpiin juga
@MolMol-f5h,Tiara bujang,tiara bujang
@sukasukaoci,"Baru nonton September 2025, jd ngerasa kasian sm suaminya 🥺😭","baru nonton september 2025, jd ngerasa kasian sm suaminya 🥺😭"
@lalisanap5384,"Tiara kocakkk, menikmati dia 🫵 kutampari kau tiara","tiara kocakkk, menikmati dia 🫵 kutampari kau tiara"
